"¿ù°£","M2"
"1986.01",43133.6
"1986.02",43492.4
"1986.03",44587.1
"1986.04",45188.7
"1986.05",46197.5
"1986.06",47043.5
"1986.07",47960.7
"1986.08",49027.6
"1986.09",50743.6
"1986.10",51406.5
"1986.11",52342.2
"1986.12",53753.5
"1987.01",54519.6
"1987.02",55509.3
"1987.03",57398
"1987.04",58917.5
"1987.05",60628.4
"1987.06",61865.2
"1987.07",62808.5
"1987.08",63965.3
"1987.09",66092.2
"1987.10",67420.9
"1987.11",68045.2
"1987.12",71136.9
"1988.01",73489.6
"1988.02",74175.1
"1988.03",76071.9
"1988.04",77444.2
"1988.05",78183.3
"1988.06",80297.8
"1988.07",81603.6
"1988.08",84337.4
"1988.09",86817.5
"1988.10",88234
"1988.11",89852.7
"1988.12",92669.9
"1989.01",94284.8
"1989.02",95118.4
"1989.03",97305.7
"1989.04",98349.8
"1989.05",99437.9
"1989.06",100113.6
"1989.07",101644.9
"1989.08",102240.2
"1989.09",106334.8
"1989.10",107859.1
"1989.11",109237
"1989.12",113008.3
"1990.01",118596
"1990.02",119931.5
"1990.03",123086.4
"1990.04",125338.5
"1990.05",127286.2
"1990.06",129180.1
"1990.07",130497.6
"1990.08",129478.5
"1990.09",136810.7
"1990.10",138782.9
"1990.11",141226
"1990.12",146975.8
"1991.01",148618.1
"1991.02",151009.2
"1991.03",153518.8
"1991.04",154504.5
"1991.05",156693.9
"1991.06",158123.5
"1991.07",161152.3
"1991.08",161615.4
"1991.09",166662.2
"1991.10",170278
"1991.11",172453
"1991.12",174698.8
"1992.01",178532.2
"1992.02",180826.9
"1992.03",183523.9
"1992.04",186533.2
"1992.05",189145.8
"1992.06",190123
"1992.07",193756.1
"1992.08",196169.1
"1992.09",198859.4
"1992.10",204227.2
"1992.11",208974.1
"1992.12",212578.9
"1993.01",217736.1
"1993.02",220984.4
"1993.03",224510
"1993.04",226220.5
"1993.05",229583.1
"1993.06",233044.8
"1993.07",236505.7
"1993.08",240278
"1993.09",244481.3
"1993.10",247130.4
"1993.11",249747.2
"1993.12",253598.5
"1994.01",255917.9
"1994.02",261715.6
"1994.03",266964.9
"1994.04",273108.1
"1994.05",275995.7
"1994.06",279562.2
"1994.07",285738.6
"1994.08",289497.7
"1994.09",294828.9
"1994.10",296573.4
"1994.11",302643.5
"1994.12",307168.9
"1995.01",311847.9
"1995.02",312391.7
"1995.03",316700.1
"1995.04",324014.6
"1995.05",328385.4
"1995.06",332585.5
"1995.07",339401.4
"1995.08",344554.4
"1995.09",351876.4
"1995.10",357301.4
"1995.11",364982.3
"1995.12",374517.3
"1996.01",377633.3
"1996.02",382347.5
"1996.03",387888.2
"1996.04",395993.5
"1996.05",400703.6
"1996.06",405306
"1996.07",412459.4
"1996.08",416876.3
"1996.09",425340.7
"1996.10",428080.9
"1996.11",434723.1
"1996.12",440517.3
"1997.01",445671.7
"1997.02",452398.4
"1997.03",458270.3
"1997.04",462361.8
"1997.05",468504.9
"1997.06",474001.4
"1997.07",483787.2
"1997.08",490619.5
"1997.09",501749.8
"1997.10",506790.9
"1997.11",516447.7
"1997.12",528649.8
"1998.01",540960.9
"1998.02",554341.8
"1998.03",562812.7
"1998.04",570866.4
"1998.05",575569.4
"1998.06",588006.2
"1998.07",600393.4
"1998.08",613945.4
"1998.09",623905
"1998.10",632759.8
"1998.11",642272.3
"1998.12",648186.1
"1999.01",656040.4
"1999.02",668953
"1999.03",669617.7
"1999.04",677027.6
"1999.05",679090.1
"1999.06",682687.1
"1999.07",683858.9
"1999.08",681728.7
"1999.09",676546.8
"1999.10",679285.9
"1999.11",682930.6
"1999.12",682329
"2000.01",676961.3
"2000.02",678380.4
"2000.03",684704.8
"2000.04",688879.2
"2000.05",686834.9
"2000.06",686973.3
"2000.07",688587.9
"2000.08",694454.4
"2000.09",702132.1
"2000.10",696854
"2000.11",703911.6
"2000.12",708047.5
"2001.01",711867.7
"2001.02",716583.9
"2001.03",717847.3
"2001.04",718780.3
"2001.05",723359.5
"2001.06",730467.6
"2001.07",742913
"2001.08",750878
"2001.09",761433.1
"2001.10",764156.1
"2001.11",766706.8
"2001.12",767051.1
"2002.01",772614.7
"2002.02",779654.9
"2002.03",797428.3
"2002.04",806857.1
"2002.05",812805.7
"2002.06",822108.1
"2002.07",827976.7
"2002.08",831521.4
"2002.09",842512
"2002.10",853092.8
"2002.11",868756.6
"2002.12",875405.5
"2003.01",880250.7
"2003.02",883643
"2003.03",892494.8
"2003.04",890351.6
"2003.05",886410.8
"2003.06",886769.4
"2003.07",886242.9
"2003.08",886880.8
"2003.09",891154.2
"2003.10",885171.7
"2003.11",896674.7
"2003.12",901818.6
"2004.01",901048.5
"2004.02",906803.8
"2004.03",916675.5
"2004.04",918329.7
"2004.05",921252
"2004.06",927101.8
"2004.07",931581.5
"2004.08",936302.7
"2004.09",946264.9
"2004.10",946832.6
"2004.11",948780.2
"2004.12",954714
"2005.01",958086.2
"2005.02",965151.9
"2005.03",977425
"2005.04",982103.7
"2005.05",985474.4
"2005.06",995904.3
"2005.07",1004960.2
"2005.08",1008802
"2005.09",1008223.6
"2005.10",1008215.2
"2005.11",1011582.7
"2005.12",1021591.6
"2006.01",1027697.4
"2006.02",1034711.9
"2006.03",1042293.6
"2006.04",1048598.6
"2006.05",1055855.4
"2006.06",1072886.5
"2006.07",1082577.5
"2006.08",1084752.6
"2006.09",1098444.2
"2006.10",1110360.9
"2006.11",1123714.6
"2006.12",1138295.5
"2007.01",1143814.9
"2007.02",1154108.8
"2007.03",1162429.3
"2007.04",1165291
"2007.05",1171148.4
"2007.06",1190080.2
"2007.07",1200892.7
"2007.08",1208052.8
"2007.09",1219265.1
"2007.10",1229742.1
"2007.11",1250790.1
"2007.12",1269522.5
"2008.01",1286407.8
"2008.02",1309161.7
"2008.03",1324032.7
"2008.04",1339434.9
"2008.05",1356612.9
"2008.06",1369728.1
"2008.07",1378914.3
"2008.08",1386101.1
"2008.09",1395719.2
"2008.10",1403984.2
"2008.11",1426165.1
"2008.12",1436298.3
"2009.01",1440275.8
"2009.02",1457931.3
"2009.03",1470443.1
"2009.04",1482009.7
"2009.05",1491542.7
"2009.06",1501898.3
"2009.07",1512822.5
"2009.08",1524879.7
"2009.09",1535279.8
"2009.10",1551319.5
"2009.11",1564175.8
"2009.12",1570027.1
"2010.01",1574215.8
"2010.02",1595403.8
"2010.03",1607896.1
"2010.04",1621176.9
"2010.05",1630904.7
"2010.06",1647981.2
"2010.07",1653057.5
"2010.08",1653907.2
"2010.09",1659400.1
"2010.10",1669376.6
"2010.11",1679909.9
"2010.12",1682871.9
"2011.01",1676448.8
"2011.02",1674390.5
"2011.03",1677475.9
"2011.04",1684792.3
"2011.05",1690543
"2011.06",1697204.2
"2011.07",1705451.5
"2011.08",1719437.8
"2011.09",1729531.1
"2011.10",1742645.4
"2011.11",1753296.4
"2011.12",1756597.4
"2012.01",1757058.7
"2012.02",1762988.4
"2012.03",1773172.9
"2012.04",1777114.7
"2012.05",1784220.5
"2012.06",1796981.5
"2012.07",1807289.2
"2012.08",1817134.9
"2012.09",1819290.1
"2012.10",1822420.9
"2012.11",1830280.3
"2012.12",1835556.7
"2013.01",1841128.1
"2013.02",1857135
"2013.03",1862405.5
"2013.04",1867726.3
"2013.05",1870289.7
"2013.06",1884193.2
"2013.07",1890728.6
"2013.08",1888658.4
"2013.09",1903187.1
"2013.10",1908557.6
"2013.11",1923339.2
"2013.12",1932026.4
"2014.01",1937045.6
"2014.02",1954340.7
"2014.03",1964954
"2014.04",1970361.6
"2014.05",1982390.9
"2014.06",1999376.3
"2014.07",2013935.1
"2014.08",2031777.2
"2014.09",2037600.8
"2014.10",2051149.8
"2014.11",2083253.5
"2014.12",2088729.8
"2015.01",2092223.5
"2015.02",2109892.3
"2015.03",2127887.8
"2015.04",2148114.7
"2015.05",2166741.1
"2015.06",2179561.1
"2015.07",2200510.9
"2015.08",2218660.3
"2015.09",2230000.7
"2015.10",2232432
"2015.11",2242848.2
"2015.12",2246070.1
"2016.01",2261356.4
"2016.02",2285313.5
"2016.03",2294544.7
"2016.04",2299081.3
"2016.05",2312801.2
"2016.06",2334256.2
"2016.07",2352245.1
"2016.08",2377323.1
"2016.09",2383040.5
"2016.10",2391059.2
"2016.11",2406393.5
"2016.12",2414040.9
"2017.01",2417807.6
"2017.02",2420285.6
"2017.03",2436994.7
"2017.04",2450220.9
"2017.05",2454386.7
"2017.06",2470861.1
"2017.07",2472110.4
"2017.08",2485629.9
"2017.09",2492388.2
"2017.10",2504594.2
"2017.11",2521786.3
"2017.12",2527641.3
"2018.01",2551196
"2018.02",2570764.6
"2018.03",2578361.8
"2018.04",2590840.7
"2018.05",2600274.3
"2018.06",2622268.3
"2018.07",2637421.8
"2018.08",2651503.4
"2018.09",2652829.5
"2018.10",2674506.5
"2018.11",2692974.8
"2018.12",2699882.3
"2019.01",2716722
"2019.02",2730481.9
"2019.03",2752723.9
"2019.04",2763058
"2019.05",2771633
"2019.06",2799248
"2019.07",2811543.7
"2019.08",2832566.1
"2019.09",2853272
"2019.10",2874176.1
"2019.11",2901465.4
"2019.12",2912434.1
"2020.01",2929009.2
"2020.02",2954603.8
"2020.03",2984304.3
"2020.04",3015816.4
"2020.05",3046050.5
"2020.06",3077284.1
"2020.07",3093300.1
"2020.08",3100373.4
"2020.09",3115238.9
"2020.10",3152811.6
"2020.11",3183500.9
"2020.12",3197671.2
"2021.01",3223486.7
"2021.02",3271405.8
"2021.03",3313182.2
"2021.04",3358874.9
"2021.05",3379753.9
"2021.06",3413899.8
"2021.07",3445243
"2021.08",3487634.1
"2021.09",3513220.2
