"년","월","자치구명","총생활인구수","남자0세부터9세생활인구수","남자10세부터14세생활인구수","남자15세부터19세생활인구수","남자20세부터24세생활인구수","남자25세부터29세생활인구수","남자30세부터34세생활인구수","남자35세부터39세생활인구수","남자40세부터44세생활인구수","남자45세부터49세생활인구수","남자50세부터54세생활인구수","남자55세부터59세생활인구수","남자60세부터64세생활인구수","남자65세부터69세생활인구수","남자70세이상생활인구수","여자0세부터9세생활인구수","여자10세부터14세생활인구수","여자15세부터19세생활인구수","여자20세부터24세생활인구수","여자25세부터29세생활인구수","여자30세부터34세생활인구수","여자35세부터39세생활인구수","여자40세부터44세생활인구수","여자45세부터49세생활인구수","여자50세부터54세생활인구수","여자55세부터59세생활인구수","여자60세부터64세생활인구수","여자65세부터69세생활인구수","여자70세이상생활인구수"
"2018","11","종로구",237734920.2374,4153423.7639,2410736.5627,5587857.2197,9938173.332,10604008.1611,9815625.8641,10728630.9912,9880348.3553,11517063.3518,9326598.7311,9136951.4532,7140598.5022,5107251.0744,11920019.1897,4008745.1498,2376508.5453,6396797.2924,12499654.8882,11321072.9761,9642804.3787,9445317.7378,8663160.8686,9775880.0308,8454916.1344,8742549.0021,7549355.3562,5596191.6307,15994679.7186
"2018","11","중구",223183528.0003,3523530.7758,1363701.7889,3134637.4119,7638930.5917,9860378.3443,11481860.2076,12957737.6069,11354292.9447,11956161.2511,9153953.0923,8663827.9575,6602778.3645,4629480.0274,8737920.577,3420391.4221,1481252.4122,3918322.3359,10157890.5765,12403422.9785,11638448.5056,10824140.6428,8801649.5554,9083428.1866,7688604.6816,8245032.8567,7148814.6545,4787691.667,12525246.4192
"2018","11","용산구",213178656.2787,4848993.7985,2461588.2849,4472984.2856,6896623.3879,8980507.3606,10301911.3322,11066165.6879,9804312.1711,9825166.747,7523821.7308,7101088.3685,5748633.8288,4079678.3005,9115009.9289,5280016.3513,2596003.8922,4497467.5998,9370190.9355,10924941.932,10509325.9753,10134902.7249,8679092.5507,8520888.8792,6723575.7421,7308858.7797,6590783.3903,4939758.7933,14876363.5153
"2018","11","성동구",257746613.0967,8904995.3775,3899455.2292,5543649.2663,10360815.4596,11291312.0248,10493822.722,11604454.6312,10338591.9835,10775842.739,8679201.6845,9340433.1768,7258449.68,5146051.0851,10514811.9546,8248772.7128,3740733.9905,6015614.129,11668478.0175,11229560.0938,11355184.6031,11349519.0998,9349440.1467,9847515.0321,8667569.8135,9727767.6748,8717324.2676,6436025.3882,17241220.9945
"2018","11","광진구",284012265.3042,9065953.2756,4865684.9486,7894477.5841,13508875.0959,13204095.579,11116003.5786,10958810.2915,9823550.3745,10593397.2698,9109548.6102,9459844.4159,7462615.7973,5298955.2905,11137620.9214,8882649.5747,4878276.2922,8100312.3595,15429960.2107,13321157.126,11797820.4666,11665171.4801,10225402.806,11140597.2563,10338481.738,11095489.4797,9573393.5453,6788524.3506,17275595.716
"2018","11","동대문구",276990011.2094,8389539.1637,4196876.832,6910337.071,14222315.6426,12114455.0171,9277695.8061,10248911.6458,9864288.3047,10348129.9367,8864759.7,9689228.1324,8334167.9573,6154493.9932,14126088.4984,7579807.6673,3744512.1956,7833164.669,16499386.2317,10772894.8383,9409866.6523,10121138.7971,8940594.4188,9836155.8784,9104331.8667,10556192.3074,9625837.791,7422335.3571,22802504.9165
"2018","11","중랑구",261083870.7916,9825461.1875,4782511.9964,6248855.2359,8060397.6408,8171344.3603,8534799.2032,10161859.6486,8931679.8121,9907863.0757,9441958.8343,10005431.4711,8392052.1975,6290381.8826,12597933.777,9331696.9432,4495173.1504,6072982.3223,8047390.1252,8937155.8891,9327228.1054,10307996.9339,9046242.7921,10811153.1097,10922451.4504,12451174.3644,10410662.1062,7900933.9012,21669099.1291
"2018","11","성북구",320794452.0882,12602781.9623,7123466.4321,9893703.0651,14759625.336,11982165.1048,9129802.9281,10520475.1271,10471699.9238,11988896.0891,9618410.9506,9908816.6271,8573422.7844,6445331.0582,14292867.6055,11467346.5149,6336585.3054,10721902.4499,18731634.1241,11424315.5953,10272538.5207,11924255.1854,11731673.8688,12785848.1181,10983797.9114,12037006.3693,11093289.0735,8569667.1672,25403126.6411
"2018","11","강북구",219419585.0557,7643144.8904,4207117.4741,5161993.2626,6897675.2333,6826559.2536,6384124.9089,7428528.5371,7511685.0423,8215865.458,7118620.6006,7646821.0461,6621334.5922,5146981.2127,12639646.2131,7056866.4205,3865076.3637,5531830.8306,8500560.8728,7094876.4347,6573118.7551,7673253.9254,7988200.0323,9280078.8829,8666551.8615,9979571.269,8691154.0687,7534974.5542,21533373.0004
"2018","11","도봉구",211585881.6894,8103718.5546,4519684.9214,5520561.6933,6039640.5155,5873394.1453,5934693.6136,6939452.5774,6949329.4736,7780382.7431,7013396.521,7751446.5834,6990101.0073,5288016.3527,11896525.4972,7406476.3435,4182118.5989,5384763.2328,6927186.4194,6445152.1882,6515498.1817,7679107.5077,7446013.3002,9164407.4189,8562102.407,9909923.5806,9096679.1256,6569444.4976,19696664.8225
"2018","11","노원구",381423400.0767,14802560.1809,9811866.1908,15109801.0548,15830684.0318,11504655.0815,9718817.5959,11458728.3712,11950775.1749,14340258.4653,12240306.7267,12580259.1505,10908140.1157,8090253.1058,16296603.8866,14162507.3623,9292171.5902,13729464.1631,15579841.1194,11055898.2348,11084896.2426,13564236.8932,14675393.5977,17753666.0028,14917338.355,16186547.0494,14179781.0276,10352761.7789,30245187.6755
"2018","11","은평구",320844749.5517,12839605.5669,7196025.87,9276129.9971,8701466.4104,9317502.1022,9566886.8307,11910618.6358,11338214.2327,12371968.0378,10279588.4827,10619446.5036,9056571.2303,6865199.3373,16349915.035,11668537.91,6418321.8724,9139253.506,9519339.4842,10525514.6196,11054661.7808,13150882.6895,12745535.2756,13931018.7857,12081038.5362,13840265.283,12541292.674,10037332.099,28502616.4784
"2018","11","서대문구",280311558.336,8521593.4938,4316272.0524,6699763.6788,12360297.8097,11968041.492,9329655.5862,10376617.5569,10056083.9417,10920755.9589,8641509.7194,8674341.5894,6885664.0587,5081511.2762,12205786.3623,8235942.013,4337604.5939,8709120.2726,20354087.5923,13723695.4463,10928936.9264,10805963.4356,10183858.5713,10709262.4062,9442912.9965,10338644.8333,8849403.7491,6904760.5132,20749470.3219
"2018","11","마포구",341560737.9845,9889876.8634,4946679.3931,8062395.6736,14179040.1198,16201480.3708,15227234.22,16414270.8327,14544600.3475,14209822.9959,10007774.1895,9644043.9627,7532838.0151,5424540.5383,12016949.5258,9892907.984,4981633.6195,9202511.7588,20378626.6169,20062281.4008,17418498.5336,16227459.6502,13973486.6347,13056394.6169,10403977.4918,11116120.5077,9374177.9569,6954808.6547,20216305.6025
"2018","11","양천구",285285467.332,12413727.689,8685686.8247,9733716.6591,7576898.4367,7698927.1645,8210796.517,10055562.5551,10615161.9153,12078121.6764,10025160.7027,9709648.0988,8030752.1734,6308808.5226,11349765.0343,11585336.4534,7924664.4778,8903721.4858,7755173.0085,8728753.7367,9397777.6504,11511015.4976,12302823.0372,13782519.939,11484031.2582,11917236.6134,10312194.8635,7995592.3435,19191892.8709
"2018","11","강서구",396303203.3672,15898218.8931,7233002.337,9362652.6378,10379534.9226,14261883.6627,16094831.1668,18793068.7523,16024342.3555,15571545.1969,12353889.0821,13454704.3727,11226854.1343,8770847.4993,16609948.757,16215754.1729,7275981.2262,9226757.2545,12049893.6798,16578229.9454,17636461.7277,18411357.3038,15579544.1465,14817646.3334,13570425.7719,16046107.6384,14584902.6438,11080541.0608,27194276.8124
"2018","11","구로구",289599034.6515,10784968.6484,4865498.8423,6407175.6579,8387319.9314,10632244.29,12078582.6765,13919782.4434,12801287.3516,12349300.3585,10022037.4437,10262728.5139,8843070.6268,6687422.085,12723342.4603,10337965.9535,4499832.4437,6172582.459,8997679.3842,11484643.0921,12115018.8833,12608344.3862,11418461.0974,11443756.8488,10231360.6803,11871989.3567,10619432.0558,8261310.3836,18771896.5723
"2018","11","금천구",163426565.8467,4479696.9109,2120480.1836,2794540.6629,4774304.2602,7876686.7848,8530226.0681,9023023.7637,7942934.202,7894018.952,6560905.3583,6615910.9617,5081787.3435,3576054.456,6353090.509,4285991.6875,2164154.6616,2890500.0989,5035090.7085,7257093.003,6946737.2005,6750878.7283,5991761.0866,6337427.0289,6124494.6714,6688425.5035,5805219.0716,4337836.6832,9187295.2578
"2018","11","영등포구",358296440.5234,9969174.8326,4476207.5309,6505178.7915,9674561.3479,15653043.7016,17602309.2095,19282874.0679,16928380.6849,17540606.9158,13857412.5486,13088800.944,10594584.5602,7610749.4805,15256723.9649,9998113.1113,4151799.3595,6012318.2639,12356793.825,17697224.5581,17458908.2611,16200479.1066,13745174.3131,13423257.1182,12217926.2335,13447993.814,11908342.7257,8854870.2555,22782631.0251
"2018","11","동작구",302194382.5465,9788106.777,4597453.7198,7667743.615,15220175.3065,16258938.572,12290919.9742,11503139.4506,10222100.198,10160625.988,8497278.6284,8698421.3688,7840908.3768,5984993.8348,14021246.9461,10261606.7589,4677727.5613,7269099.1943,15948924.0656,14120492.1458,11989874.902,11697069.2295,10451036.3398,10464877.8712,9694639.6247,11508244.5041,10490267.2727,8454610.4343,22413859.9125
"2018","11","관악구",359199859.7863,9610551.2495,4684493.8795,8322447.26,17298146.1828,23885975.49,18610993.2895,15593632.7548,13021399.26,12708805.7589,9936492.4233,10174954.801,8686208.4891,7335539.3576,15273874.5538,9590249.2485,4623818.958,8134718.9564,18957112.202,21073292.3531,15892431.5498,13900838.345,11674055.6396,11628926.6917,10916196.3513,12896438.9253,11632743.8205,9778024.9482,23357496.9941
"2018","11","서초구",440874984.1174,12720794.7634,7156182.6541,9877985.235,12714291.1571,17043090.3093,18835179.3913,21992885.0986,20970374.4365,21755295.6567,16001807.0991,14357942.8693,11778843.5752,9048737.2372,18075967.3154,13534133.9124,7592847.2573,10727886.9064,15802499.4754,20634750.9449,20013835.6273,20534839.1936,18564782.3257,18535212.3033,14464497.6636,15439183.891,14448513.4286,11365037.2192,26887587.2957
"2018","11","강남구",597047297.7118,14779593.8299,9748358.9481,15678034.4497,16437944.0019,25930032.103,29245963.5249,32925293.7057,29451189.8723,29008448.4295,20682558.6077,17441485.2301,14192240.8034,11005312.118,21257514.1983,14731714.3846,9415351.0234,15310050.9349,23333135.7821,34252063.6393,31315874.9181,29686224.1819,25301317.8712,24995899.8122,18246444.5971,18725791.38,17731824.6225,14109795.3491,32107839.0884
"2018","11","송파구",547288922.5335,21213614.6106,11008634.9442,14186119.1903,14954377.8763,18542588.3678,20834657.8395,24314976.6509,21875475.544,21822143.7559,18124468.4814,18437192.7954,15665134.0713,12145765.6675,21383245.2478,21363474.9385,11300806.9171,13771610.7584,16703485.8502,21599325.9367,23501150.7621,25585419.9648,21963614.6258,23070158.253,20588921.9018,22904267.0559,21148970.0804,15136006.5387,34143313.9716
"2018","11","강동구",347851054.0803,14552367.8591,7824021.2962,10259695.9284,9254983.9758,10528393.0364,11260452.3012,13679297.7673,12661134.481,13756640.7027,11703309.1064,12789071.0637,11089110.8998,8468765.5059,16001487.0101,13206900.9203,6926913.3807,8590962.8287,9531214.7303,11200190.4499,12157623.3574,14643983.4828,13549700.0501,14771843.2592,13571673.1769,16073390.2989,14552653.2193,10765857.8935,24479416.2604
