"기간","곡류","맥류및잡곡","콩류","과실","도축육","가금육","신선어류","냉동수산물","낙농품","수산물가공품","원당","유지","과실및채소가공품","인삼및건강보조식품"
"1971.01",0,40,30.64,0,0,0,0,0,0,0,23.51,23.17,0,0
"1971.02",0,40.19,30.64,0,0,0,0,0,0,0,23.51,22.79,0,0
"1971.03",0,40.65,30.91,0,0,0,0,0,0,0,23.51,21.85,0,0
"1971.04",0,40.65,30.91,0,0,0,0,0,0,0,23.51,22.42,0,0
"1971.05",0,41.59,30.91,0,0,0,0,0,0,0,23.51,22.51,0,0
"1971.06",0,40.24,30.91,0,0,0,0,0,0,0,25.33,22.7,0,0
"1971.07",0,40.27,30.91,0,0,0,0,0,0,0,25.33,22.23,0,0
"1971.08",0,39.72,30.91,0,0,0,0,0,0,0,25.33,21.57,0,0
"1971.09",0,40.1,30.91,0,0,0,0,0,0,0,25.33,21.76,0,0
"1971.10",0,40.1,30.58,0,0,0,0,0,0,0,25.33,21.47,0,0
"1971.11",0,40.1,30.58,0,0,0,0,0,0,0,25.33,21.1,0,0
"1971.12",0,40.1,30.58,0,0,0,0,0,0,0,25.03,21,0,0
"1972.01",0,41.39,30.58,0,0,0,0,0,0,0,42.92,19.87,0,0
"1972.02",0,41.51,30.58,0,0,0,0,0,0,0,42.92,20.15,0,0
"1972.03",0,39.78,29.16,0,0,0,0,0,0,0,42.92,19.77,0,0
"1972.04",0,39.78,29.16,0,0,0,0,0,0,0,42.92,18.64,0,0
"1972.05",0,39.78,29.16,0,0,0,0,0,0,0,42.92,18.36,0,0
"1972.06",0,40.32,29.16,0,0,0,0,0,0,0,37.92,19.02,0,0
"1972.07",0,40.21,29.16,0,0,0,0,0,0,0,37.92,19.11,0,0
"1972.08",0,40.18,29.16,0,0,0,0,0,0,0,37.92,18.83,0,0
"1972.09",0,39.92,33.2,0,0,0,0,0,0,0,37.92,20.06,0,0
"1972.10",0,39.81,33.2,0,0,0,0,0,0,0,37.92,20.72,0,0
"1972.11",0,41.57,33.2,0,0,0,0,0,0,0,37.92,21.1,0,0
"1972.12",0,41.28,32.53,0,0,0,0,0,0,0,37.01,21.85,0,0
"1973.01",0,41.42,32.53,0,0,0,0,0,0,0,36.4,21.85,0,0
"1973.02",0,43.07,32.53,0,0,0,0,0,0,0,36.86,21.94,0,0
"1973.03",0,45.62,52.6,0,0,0,0,0,0,0,39.89,26.24,0,0
"1973.04",0,46.04,52.6,0,0,0,0,0,0,0,39.74,28.03,0,0
"1973.05",0,47.88,52.6,0,0,0,0,0,0,0,42.32,34.73,0,0
"1973.06",0,56.63,57.05,0,0,0,0,0,0,0,42.32,42.76,0,0
"1973.07",0,63.73,57.05,0,0,0,0,0,0,0,42.32,45.82,0,0
"1973.08",0,66.3,57.05,0,0,0,0,0,0,0,48.54,56.07,0,0
"1973.09",0,68.15,57.05,0,0,0,0,0,0,0,48.54,43.61,0,0
"1973.10",0,80.79,57.05,0,0,0,0,0,0,0,52.33,42,0,0
"1973.11",0,81.51,69.44,0,0,0,0,0,0,0,55.21,40.87,0,0
"1973.12",0,86.81,69.44,0,0,0,0,0,0,0,63.4,42.66,0,0
"1974.01",0,85.06,69.44,0,0,0,0,0,0,0,86.3,47.1,0,0
"1974.02",0,86.01,69.44,0,0,0,0,0,0,0,83.42,53.75,0,0
"1974.03",0,82.95,69.44,0,0,0,0,0,0,0,102.69,57.39,0,0
"1974.04",0,82.07,69.44,0,0,0,0,0,0,0,108.45,54.74,0,0
"1974.05",0,83.6,69.44,0,0,0,0,0,0,0,109.51,52.76,0,0
"1974.06",0,87.93,69.44,0,0,0,0,0,0,0,124.83,46.58,0,0
"1974.07",0,87.54,58.12,0,0,0,0,0,0,0,130.9,46.77,0,0
"1974.08",0,81.22,58.12,0,0,0,0,0,0,0,173.82,46.58,0,0
"1974.09",0,82.97,58.12,0,0,0,0,0,0,0,204.61,43.04,0,0
"1974.10",0,87.34,72.47,0,0,0,0,0,0,0,245.57,43.98,0,0
"1974.11",0,86.5,72.47,0,0,0,0,0,0,0,225.09,39.83,0,0
"1974.12",0,86.55,72.47,0,0,0,0,0,0,0,225.09,33.74,0,0
"1975.01",0,86.62,72.46,0,0,0,0,12.27,0,0,229.47,32.71,0,0
"1975.02",0,86.67,72.46,0,0,0,0,12.27,0,0,229.47,31.68,0,0
"1975.03",0,74.5,72.46,0,0,0,0,12.27,0,0,229.47,31.57,0,0
"1975.04",0,60.75,72.46,0,0,0,0,12.27,0,0,191.91,36.83,0,0
"1975.05",0,58.73,72.46,0,0,0,0,12.27,0,0,137.96,37.2,0,0
"1975.06",0,52.87,48.91,0,0,0,0,12.27,0,0,137.96,36.91,0,0
"1975.07",0,55.6,48.91,0,0,0,0,12.27,0,0,114.1,38.19,0,0
"1975.08",0,59.65,37.17,0,0,0,0,12.27,0,0,110.85,41.17,0,0
"1975.09",0,66.57,48.91,0,0,0,0,12.27,0,0,100.12,41.17,0,0
"1975.10",0,66.33,48.91,0,0,0,0,12.27,0,0,70.89,38.05,0,0
"1975.11",0,65.75,48.91,0,0,0,0,12.27,0,0,70.89,38.05,0,0
"1975.12",0,60.5,48.91,0,0,0,0,12.27,0,0,70.89,38.05,0,0
"1976.01",0,59.72,48.91,0,0,0,0,14.46,0,0,73.01,38.05,0,0
"1976.02",0,56.93,48.91,0,0,0,0,14.46,0,0,73.01,38.05,0,0
"1976.03",0,57.06,47.97,0,0,0,0,14.46,0,0,73.01,38.05,0,0
"1976.04",0,57.71,46.04,0,0,0,0,14.46,0,0,73.01,38.05,0,0
"1976.05",0,57.06,46.86,0,0,0,0,14.46,0,0,73.01,37.31,0,0
"1976.06",0,57.12,36.7,0,0,0,0,14.46,0,0,73.01,36.94,0,0
"1976.07",0,58.14,56.66,0,0,0,0,14.46,0,0,73.01,38.3,0,0
"1976.08",0,57.74,60.77,0,0,0,0,14.46,0,0,76.11,41.47,0,0
"1976.09",0,57.73,66.65,0,0,0,0,14.46,0,0,76.11,41.47,0,0
"1976.10",0,56.44,65,0,0,0,0,14.46,0,0,76.11,38.82,0,0
"1976.11",0,54.71,60.48,0,0,0,0,14.46,0,0,76.11,38.82,0,0
"1976.12",0,53.85,61.13,0,0,0,0,14.46,0,0,76.11,38.82,0,0
"1977.01",0,53.6,61.77,0,0,0,0,14.46,0,0,76.11,39.44,0,0
"1977.02",0,53.96,65.12,0,0,0,0,14.46,0,0,61.57,39.74,0,0
"1977.03",0,53.96,74.1,0,0,0,0,14.46,0,0,54.23,39.74,0,0
"1977.04",0,53.96,87.55,0,0,0,0,14.46,0,0,54.23,44.19,0,0
"1977.05",0,52.71,92.25,0,0,0,0,14.46,0,0,54.23,45.66,0,0
"1977.06",0,52.47,92.25,0,0,0,0,14.46,0,0,54.23,48.64,0,0
"1977.07",0,47.6,80.56,0,0,0,0,14.46,0,0,54.23,45.29,0,0
"1977.08",0,47.6,80.56,0,0,0,0,17,0,0,54.23,45.29,0,0
"1977.09",0,45.97,51.03,0,0,0,0,17,0,0,54.23,41.25,0,0
"1977.10",0,40.67,49.74,0,0,0,0,17,0,0,54.23,41.25,0,0
"1977.11",0,41.28,49.74,0,0,0,0,17,0,0,54.23,41.25,0,0
"1977.12",0,44.49,55.31,0,0,0,0,17,0,0,54.23,38.41,0,0
"1978.01",0,46.4,55.31,0,0,0,0,17,0,0,54.23,40.77,0,0
"1978.02",0,48.59,53.49,0,0,0,0,17,0,0,54.23,40.77,0,0
"1978.03",0,48.81,53.49,0,0,0,0,17,0,0,54.23,40.77,0,0
"1978.04",0,52.03,53.49,0,0,0,0,31.46,0,0,54.23,40.77,0,0
"1978.05",0,53.12,53.49,0,0,0,0,34.61,0,0,54.23,43.9,0,0
"1978.06",0,53.12,53.49,0,0,0,0,34.61,0,0,54.23,48.86,0,0
"1978.07",0,53.05,64.88,0,0,0,0,34.61,0,0,54.79,48.86,0,0
"1978.08",0,50.75,57.43,0,0,0,0,34.61,0,0,54.79,48.86,0,0
"1978.09",0,50.75,59.48,0,0,0,0,34.61,0,0,56.34,48.86,0,0
"1978.10",0,52.82,63.71,0,0,0,0,34.61,0,0,56.34,48.86,0,0
"1978.11",0,54.51,62.3,0,0,0,0,34.61,0,0,58.46,56.22,0,0
"1978.12",0,54.26,63.3,0,0,0,0,34.61,0,0,58.46,56.22,0,0
"1979.01",0,55.23,63.3,0,0,0,0,34.61,0,0,58.46,57.14,0,0
"1979.02",0,55.23,66.06,0,0,0,0,34.61,0,0,58.46,57.14,0,0
"1979.03",0,55.23,70.29,0,0,0,0,34.61,0,0,58.46,61.67,0,0
"1979.04",0,55.23,70.29,0,0,0,0,34.61,0,0,58.46,67,0,0
"1979.05",0,56.83,70.29,0,0,0,0,38.07,0,0,58.46,67,0,0
"1979.06",0,60.55,70.29,0,0,0,0,38.07,0,0,58.46,67,0,0
"1979.07",0,72.31,73.69,0,0,0,0,38.07,0,0,58.46,61.59,0,0
"1979.08",0,68.56,73.69,0,0,0,0,38.07,0,0,62.56,61.59,0,0
"1979.09",0,65.22,73.69,0,0,0,0,38.07,0,0,62.56,61.59,0,0
"1979.10",0,65.22,73.69,0,0,0,0,38.07,0,0,66.37,61.59,0,0
"1979.11",0,65.85,67.88,0,0,0,0,38.07,0,0,74.7,59.61,0,0
"1979.12",0,67.49,67.88,0,0,0,0,38.07,0,0,81.34,59.61,0,0
"1980.01",0,66.62,63.58,0,29.5,0,0,29.09,0,0,84.7,59.61,0,0
"1980.02",0,66.62,63.58,0,26.57,0,0,29.09,0,0,99.41,59.4,0,0
"1980.03",0,65.8,65.68,0,26.57,0,0,29.09,0,0,99.41,58.66,0,0
"1980.04",0,63.01,62.67,0,26.57,0,0,28.99,0,0,117.98,50.55,0,0
"1980.05",0,62.27,62.67,0,26.57,0,0,30.01,0,0,161.4,50.36,0,0
"1980.06",0,63.82,61.97,0,26.57,0,0,28.04,0,0,161.4,50.34,0,0
"1980.07",0,68.28,66.03,0,26.57,0,0,36.68,0,0,143.55,50.47,0,0
"1980.08",0,72.6,72.74,0,26.57,0,0,36.68,0,0,153.41,49.96,0,0
"1980.09",0,74.2,76.1,0,27.97,0,0,36.68,0,0,164.26,49.41,0,0
"1980.10",0,74.33,79.46,0,32.08,0,0,36.68,0,0,171.69,49.23,0,0
"1980.11",0,80.67,82.46,0,33.52,0,0,36.68,0,0,178.4,49.88,0,0
"1980.12",0,77.53,82.46,0,33.52,0,0,36.68,0,0,178.4,50.97,0,0
"1981.01",0,77.53,82.46,0,33.52,0,0,36.68,0,0,173.4,48.87,0,0
"1981.02",0,77.53,82.46,0,33.52,0,0,36.68,0,0,173.4,49.73,0,0
"1981.03",0,73.98,82.46,0,33.66,0,0,36.68,0,0,159.98,49.21,0,0
"1981.04",0,74.75,75.47,0,33.66,0,0,34.05,0,0,151.12,49.21,0,0
"1981.05",0,72.83,74.98,0,33.96,0,0,34.05,0,0,128.27,49.61,0,0
"1981.06",0,68.16,74.98,0,29.91,0,0,34.05,0,0,128.27,52.47,0,0
"1981.07",0,65.21,72.74,0,29.6,0,0,34.05,0,0,128.27,51.46,0,0
"1981.08",0,66.3,72.74,0,29.51,0,0,33.36,0,0,113.55,48.66,0,0
"1981.09",0,62.9,72.74,0,29.17,0,0,33.69,0,0,108.56,50.12,0,0
"1981.10",0,62.4,66.8,0,29.17,0,0,32.67,0,0,108.56,52.13,0,0
"1981.11",0,60.23,63.93,0,30.05,0,0,32.67,0,0,108.56,50.14,0,0
"1981.12",0,58.28,63.93,0,30.05,0,0,32.67,0,0,108.56,49,0,0
"1982.01",0,59.55,66.8,0,31.11,0,0,32.67,0,0,108.56,49,0,0
"1982.02",0,59.14,66.8,0,31.27,0,0,32.67,0,0,108.56,45.58,0,0
"1982.03",0,58.66,66.8,0,31.27,0,0,32.67,0,0,102.56,46.17,0,0
"1982.04",0,60.21,62.6,0,31.27,0,0,32.67,0,0,102.56,46.17,0,0
"1982.05",0,60.21,62.6,0,31.27,0,0,32.67,0,0,102.56,46.17,0,0
"1982.06",0,59.17,60.92,0,31.27,0,0,32.67,0,0,93.84,46.17,0,0
"1982.07",0,58.25,58.96,0,31.11,0,0,32.67,0,0,93.84,46.17,0,0
"1982.08",0,55.93,56.66,0,31.02,0,0,32.67,0,0,93.84,43.6,0,0
"1982.09",0,56.24,56.66,0,31.23,0,0,32.67,0,0,85.27,43.6,0,0
"1982.10",0,56.24,52.95,0,31.41,0,0,32.67,0,0,85.27,43.6,0,0
"1982.11",0,56.36,54.28,0,31.41,0,0,32.67,0,0,85.27,43.6,0,0
"1982.12",0,56.33,54.28,0,31.41,0,0,32.67,0,0,85.27,40.08,0,0
"1983.01",0,56.76,54.28,0,31.41,0,0,32.67,0,0,85.27,40.08,0,0
"1983.02",0,58.44,56.52,0,31.41,0,0,32.67,0,0,85.27,39.22,0,0
"1983.03",0,59.2,56.52,0,31.41,0,0,32.67,0,0,85.27,39.22,0,0
"1983.04",0,65.81,59.1,0,31.75,0,0,34.64,0,0,85.27,42.95,0,0
"1983.05",0,66.08,60.43,0,31.75,0,0,34.64,0,0,85.27,43.18,0,0
"1983.06",0,64,60.43,0,31.75,0,0,34.64,0,0,85.27,42.84,0,0
"1983.07",0,65.11,60.43,0,39.3,0,0,34.64,0,0,87.7,41.71,0,0
"1983.08",0,66.5,62.67,0,39.3,0,0,34.64,0,0,87.7,49.2,0,0
"1983.09",0,68.97,74.98,0,38.61,0,0,34.64,0,0,87.7,54.52,0,0
"1983.10",0,68.97,77.22,0,41.44,0,0,34.64,0,0,87.7,53.33,0,0
"1983.11",0,68.6,74.28,0,43.15,0,0,34.64,0,0,87.7,52.02,0,0
"1983.12",0,66.52,74.14,0,44.31,0,0,34.64,0,0,85.27,51.22,0,0
"1984.01",0,65.66,79.04,0,47.72,0,0,34.64,0,0,80.42,54.4,0,0
"1984.02",0,63.98,70.92,0,47.72,0,0,36.16,0,0,80.42,56.69,0,0
"1984.03",0,66.14,71.9,0,49.45,0,0,35.47,0,0,64.42,65.92,0,0
"1984.04",0,67.6,70.85,0,51.85,0,0,35.17,0,0,64.42,63.54,0,0
"1984.05",0,67.07,70.85,0,55.15,0,0,35.17,0,0,64.42,71.66,0,0
"1984.06",0,66.37,74.91,0,54.57,0,0,35.17,0,0,60.85,68.94,0,0
"1984.07",0,64.62,74.91,0,54.71,0,0,35.17,0,0,59.56,58.84,0,0
"1984.08",0,64.12,68.83,0,54.71,0,0,35.17,0,0,58.99,57.77,0,0
"1984.09",0,64.08,64,0,54.28,0,0,35.17,0,0,58.99,54.24,0,0
"1984.10",0,61.59,60.43,0,51.73,0,0,35.17,0,0,59.56,54.24,0,0
"1984.11",0,60.03,57.21,0,50,0,0,35.17,0,0,59.56,59.12,0,0
"1984.12",0,59.41,56.31,0,47.17,0,0,35.17,0,0,56.85,53.95,0,0
"1985.01",0,60.45,55.08,0,45.84,0,0,35.05,0,0,56.56,55.56,0,0
"1985.02",0,59.4,56.66,0,41.45,0,0,34.73,0,0,56.56,51.56,0,0
"1985.03",0,59.78,56.66,0,39.57,0,0,34.73,0,0,56.56,50.93,0,0
"1985.04",0,60.14,59.65,0,42.73,0,0,34.73,0,0,52.29,59.36,0,0
"1985.05",0,59.6,56.44,0,44.61,0,0,34.84,0,0,52.29,57.28,0,0
"1985.06",0,58.98,55.52,0,45.84,0,0,34.84,0,0,52.29,56.18,0,0
"1985.07",0,57.81,55.52,0,47.72,0,0,34.84,0,0,41.91,50.17,0,0
"1985.08",0,56.04,53.18,0,48.38,0,0,34.84,0,0,41.91,43.2,0,0
"1985.09",0,50.67,52.1,0,49,0,0,34.84,0,0,44.2,37.21,0,0
"1985.10",0,51.44,49.81,0,51.5,0,0,34.84,0,0,46.13,34.58,0,0
"1985.11",0,52.88,50.03,0,54.66,0,0,35.68,0,0,46.63,35.39,0,0
"1985.12",0,54.89,51.28,0,54.66,0,0,35.75,0,0,48.57,39.02,0,0
"1986.01",0,60.45,55.08,0,45.84,0,0,35.05,0,0,56.56,55.56,0,0
"1986.02",0,53.29,52.04,0,52.11,0,0,35.22,0,0,49.06,30.13,0,0
"1986.03",0,51.79,51.28,0,52.11,0,0,36.55,0,0,49.66,28.88,0,0
"1986.04",0,53.12,51.06,0,54.66,0,0,38.58,0,0,53.33,28.68,0,0
"1986.05",0,49.69,51.06,0,59.66,0,0,39.74,0,0,53.33,26.99,0,0
"1986.06",0,46.7,50.47,0,60.32,0,0,39.74,0,0,53.33,26.99,0,0
"1986.07",0,40.85,49.27,0,62.2,0,0,39.74,0,0,47.77,24.88,0,0
"1986.08",0,39.67,49.27,0,58.43,0,0,39.91,0,0,44.35,21.79,0,0
"1986.09",0,37.9,47.21,0,54.66,0,0,39.91,0,0,44.35,22.03,0,0
"1986.10",0,37.98,46.77,0,55.27,0,0,39.91,0,0,42.96,28.15,0,0
"1986.11",0,40.65,46.77,0,57.16,0,0,39.91,0,0,43.65,30.4,0,0
"1986.12",0,41.38,46.66,0,57.16,0,0,39.91,0,0,43.65,29.61,0,0
"1987.01",0,40.82,46.5,0,58.43,0,0,39.91,0,0,43.65,33.6,0,0
"1987.02",0,40.48,46.39,0,61.54,0,0,39.91,0,0,43.65,31.86,0,0
"1987.03",0,40.78,46.39,0,62.81,0,0,39.91,0,0,45.09,32.62,0,0
"1987.04",0,42.42,46.39,0,72.86,0,0,39.91,0,0,46.33,31.8,0,0
"1987.05",0,46.34,48.35,0,72.86,0,0,39.91,0,0,49.96,31.8,0,0
"1987.06",0,45.12,51.5,0,72.25,0,0,39.91,0,0,49.96,33.89,0,0
"1987.07",0,42.95,51.5,0,74.13,0,0,40.43,0,0,48.02,31.87,0,0
"1987.08",0,41.2,51.28,0,72.25,0,0,40.82,0,0,47.03,33.32,0,0
"1987.09",0,44.43,51.77,0,72.25,0,0,48.72,0,0,45.09,34.89,0,0
"1987.10",0,45.4,51.77,0,74.13,0,0,48.72,0,0,47.77,34.42,0,0
"1987.11",0,46.38,52.04,0,74.13,0,0,48.72,0,0,46.33,35.37,0,0
"1987.12",0,46.56,52.04,0,74.13,0,0,48.72,0,0,46.33,41.33,0,0
"1988.01",0,48.62,54.32,0,74.13,0,0,48.72,0,0,63.37,47.63,0,0
"1988.02",0,51.91,56.55,0,74.13,0,0,48.72,0,0,65.1,41.4,0,0
"1988.03",0,52.32,56.77,0,84.79,0,0,49.42,0,0,64.61,38.87,0,0
"1988.04",0,51.42,61.01,0,85.4,0,0,53.9,0,0,63.37,39.73,0,0
"1988.05",0,50.66,62.69,0,84.79,0,0,53.9,0,0,63.37,39.39,0,0
"1988.06",0,60.24,79.48,0,78.52,0,0,53.9,0,0,65.35,41.57,0,0
"1988.07",0,66.89,81.16,0,77.25,0,0,53.9,0,0,76.77,45.08,0,0
"1988.08",0,63.87,78.93,0,79.79,0,0,53.9,0,0,76.77,42.23,0,0
"1988.09",0,63.01,78.33,0,70.36,0,0,53.9,0,0,74.34,40.23,0,0
"1988.10",0,66.01,78.5,0,69.09,0,0,53.9,0,0,76.77,40.41,0,0
"1988.11",0,64.77,76.54,0,63.43,0,0,53.9,0,0,75.58,40.52,0,0
"1988.12",0,66.73,76.54,0,63.43,0,0,53.9,0,0,74.34,40.35,0,0
"1989.01",0,67.63,75.02,0,66.59,0,0,53.9,0,0,75.58,39.45,0,0
"1989.02",0,66.98,73.07,0,67.81,0,0,53.9,0,0,75.58,38.03,0,0
"1989.03",0,67.98,73.77,0,80.41,0,0,53.9,0,0,75.58,36.94,0,0
"1989.04",0,66.24,71.44,0,78.52,0,0,53.9,0,0,75.58,36.94,0,0
"1989.05",0,67.23,73.34,0,74.75,0,0,53.9,0,0,82.88,37.7,0,0
"1989.06",0,65.17,71.76,0,74.75,0,0,53.9,0,0,82.88,36.45,0,0
"1989.07",0,61.72,69.86,0,82.29,0,0,53.9,0,0,87.75,33.85,0,0
"1989.08",0,62.24,67.14,0,80.41,0,0,53.9,0,0,88.99,31.86,0,0
"1989.09",0,61.55,63.56,0,81.63,0,0,53.9,0,0,85.31,31.45,0,0
"1989.10",0,63.3,57.75,0,77.25,0,0,53.9,0,0,92.61,32.12,0,0
"1989.11",0,64.18,59.54,0,79.79,0,0,53.9,0,0,98.72,32.48,0,0
"1989.12",0,64.13,59.54,0,85.4,0,0,53.9,0,0,96.29,30.86,0,0
"1990.01",0,61.97,58.42,50,85.78,0,0,53.9,0,19.08,96.31,30.65,39.57,0
"1990.02",0,60.45,56.86,50,81.4,0,0,53.9,0,19.08,96.31,29.79,45.36,0
"1990.03",0,60.05,57.96,50,79.3,0,0,53.9,0,19.08,99.91,30.99,51.42,0
"1990.04",0,61.45,59.47,50,86.44,0,0,53.9,0,19.08,101.17,29.48,50.12,0
"1990.05",0,61.1,60.22,50,84.42,0,0,53.9,0,19.08,94.55,31,51.1,0
"1990.06",0,60.7,58.65,50,83.21,0,0,53.9,0,19.08,90.19,30.1,46.57,0
"1990.07",0,55.35,56.63,50,82.54,0,0,53.9,0,19.08,86.5,30.1,49.09,0
"1990.08",0,54.46,60.22,50,78.37,0,0,53.9,0,19.08,75.61,30.23,49.09,0
"1990.09",0,50.86,58.19,50,77.58,0,0,53.9,0,19.08,65.8,30.2,44,0
"1990.10",0,51.03,57.55,50,77.74,0,0,53.9,0,19.08,64.63,31,50.07,0
"1990.11",0,50.82,55.29,50,78.32,0,0,53.9,0,20.12,67.81,34.85,50.07,0
"1990.12",0,53.02,55.99,50,77.91,0,0,53.9,0,20.12,67.06,36.1,33.55,0
"1991.01",0,53.6,55.52,50,71.54,0,0,53.9,0,20.12,63.37,37.38,35.14,0
"1991.02",0,54.78,56.22,50,70.92,0,0,53.9,0,22.28,62.87,35.32,37.89,0
"1991.03",0,54.44,56.22,54.2,80.55,0,0,53.9,0,24.96,65.8,35.52,38.87,0
"1991.04",0,55.78,56.22,61.95,80.83,0,0,53.9,0,24.96,65.8,32.47,38.87,0
"1991.05",0,55.67,54.54,65,72.54,0,0,53.9,0,24.19,65.8,34,38.87,0
"1991.06",0,55.69,54.31,62.75,66.8,0,0,53.9,0,24.19,68.23,31.93,38.87,0
"1991.07",0,56.17,51.82,42.85,60.18,0,0,53.9,0,30.39,80.47,34.81,38.87,0
"1991.08",0,54.68,51.06,39.1,56.41,0,0,53.9,0,34.03,65.8,34.05,38.87,0
"1991.09",0,56.71,51.06,39.15,56.45,0,0,53.9,0,37.13,68.23,32.77,38.87,0
"1991.10",0,59.7,51.06,35.35,64.52,0,0,53.9,0,39.88,68.23,34.39,38.87,0
"1991.11",0,60.58,51.06,39.1,68.56,0,0,53.9,0,39.88,68.23,35.65,38.87,0
"1991.12",0,61.93,51.06,36.55,65.86,0,0,53.9,0,39.88,68.23,36.72,38.87,0
