"년","월","전월비%","전년동월비%","전년누계비%"
"1996","1","1.5","5.2","5.2"
"1996","2","0.6","5.2","5.2"
"1996","3","0.2","4.1","4.8"
"1996","4","1.1","4.5","4.8"
"1996","5","1.0","5.4","4.9"
"1996","6","-0.1","6.0","5.1"
"1996","7","1.2","7.3","5.4"
"1996","8","0.5","7.1","5.6"
"1996","9","0.3","5.8","5.6"
"1996","10","0.0","6.6","5.7"
"1996","11","0.1","7.4","5.9"
"1996","12","0.6","7.0","6.0"
"1997","1","1.1","6.6","6.6"
"1997","2","0.7","6.8","6.7"
"1997","3","0.3","6.8","6.7"
"1997","4","0.5","6.3","6.6"
"1997","5","-0.1","5.2","6.3"
"1997","6","0.2","5.5","6.2"
"1997","7","0.2","4.4","5.9"
"1997","8","1.2","5.1","5.8"
"1997","9","0.7","5.6","5.8"
"1997","10","-0.1","5.5","5.8"
"1997","11","0.4","5.8","5.8"
"1997","12","4.3","9.7","6.1"
"1998","1","3.4","12.2","12.2"
"1998","2","2.4","14.1","13.2"
"1998","3","-1.0","12.7","13.0"
"1998","4","0.5","12.7","12.9"
"1998","5","-0.8","11.9","12.7"
"1998","6","-0.7","10.9","12.4"
"1998","7","0.1","10.8","12.2"
"1998","8","0.8","10.4","11.9"
"1998","9","0.7","10.4","11.8"
"1998","10","0.8","11.4","11.7"
"1998","11","-0.5","10.4","11.6"
"1998","12","-0.2","5.7","11.1"
"1999","1","0.0","2.2","2.2"
"1999","2","0.6","0.4","1.3"
"1999","3","0.5","1.8","1.5"
"1999","4","0.6","1.9","1.6"
"1999","5","-0.2","2.6","1.8"
"1999","6","-0.9","2.4","1.9"
"1999","7","-0.5","1.9","1.9"
"1999","8","1.8","2.8","2.0"
"1999","9","0.5","2.6","2.1"
"1999","10","1.3","3.2","2.2"
"1999","11","-0.3","3.3","2.3"
"1999","12","-0.4","3.1","2.4"
"2000","1","0.5","3.6","3.6"
"2000","2","0.5","3.5","3.6"
"2000","3","0.9","4.0","3.7"
"2000","4","-0.6","2.8","3.5"
"2000","5","-1.1","1.8","3.1"
"2000","6","0.7","3.4","3.2"
"2000","7","0.7","4.6","3.4"
"2000","8","0.9","3.8","3.4"
"2000","9","2.1","5.4","3.6"
"2000","10","-0.1","3.9","3.7"
"2000","11","-1.1","3.1","3.6"
"2000","12","0.7","4.2","3.7"
"2001","1","1.2","4.9","4.9"
"2001","2","0.5","4.9","4.9"
"2001","3","1.3","5.2","5.0"
"2001","4","0.5","6.4","5.3"
"2001","5","-0.4","7.1","5.7"
"2001","6","0.5","6.9","5.9"
"2001","7","0.2","6.3","6.0"
"2001","8","0.6","6.0","6.0"
"2001","9","-0.4","3.4","5.7"
"2001","10","0.1","3.6","5.5"
"2001","11","-1.0","3.7","5.3"
"2001","12","0.1","3.0","5.1"
"2002","1","0.6","2.4","2.4"
"2002","2","0.5","2.4","2.4"
"2002","3","0.8","2.0","2.3"
"2002","4","0.7","2.2","2.3"
"2002","5","0.6","3.1","2.4"
"2002","6","-0.4","2.3","2.4"
"2002","7","-0.6","1.4","2.3"
"2002","8","0.9","1.8","2.2"
"2002","9","0.8","3.0","2.3"
"2002","10","-0.7","2.2","2.3"
"2002","11","0.0","3.2","2.4"
"2002","12","0.6","3.7","2.5"
"2003","1","0.8","4.0","4.0"
"2003","2","0.7","4.2","4.1"
"2003","3","2.1","5.5","4.6"
"2003","4","-0.5","4.3","4.5"
"2003","5","-0.5","3.1","4.2"
"2003","6","-0.4","3.1","4.0"
"2003","7","0.0","3.7","4.0"
"2003","8","0.7","3.5","3.9"
"2003","9","1.1","3.8","3.9"
"2003","10","0.3","4.8","4.0"
"2003","11","-0.5","4.2","4.0"
"2003","12","0.5","4.2","4.0"
"2004","1","0.9","4.3","4.3"
"2004","2","0.7","4.2","4.3"
"2004","3","1.6","3.8","4.1"
"2004","4","-0.3","4.1","4.1"
"2004","5","-0.1","4.6","4.2"
"2004","6","-0.1","4.9","4.3"
"2004","7","0.9","5.8","4.5"
"2004","8","1.5","6.7","4.8"
"2004","9","0.2","5.7","4.9"
"2004","10","0.1","5.5","5.0"
"2004","11","-1.0","5.0","5.0"
"2004","12","0.0","4.5","4.9"
"2005","1","1.4","5.1","5.1"
"2005","2","0.5","4.9","5.0"
"2005","3","1.1","4.3","4.7"
"2005","4","0.1","4.7","4.7"
"2005","5","-0.2","4.6","4.7"
"2005","6","-0.4","4.2","4.6"
"2005","7","0.6","4.0","4.5"
"2005","8","0.4","2.8","4.3"
"2005","9","0.8","3.5","4.2"
"2005","10","-0.1","3.3","4.1"
"2005","11","-0.8","3.5","4.1"
"2005","12","0.4","3.9","4.0"
"2006","1","0.9","3.4","3.4"
"2006","2","0.3","3.1","3.2"
"2006","3","0.8","2.8","3.1"
"2006","4","0.2","2.9","3.0"
"2006","5","0.0","3.1","3.1"
"2006","6","-0.1","3.4","3.1"
"2006","7","0.4","3.2","3.1"
"2006","8","1.0","3.8","3.2"
"2006","9","0.5","3.5","3.2"
"2006","10","-0.9","2.7","3.2"
"2006","11","-0.9","2.6","3.1"
"2006","12","0.4","2.6","3.1"
"2007","1","0.2","1.9","1.9"
"2007","2","0.8","2.4","2.1"
"2007","3","1.0","2.5","2.3"
"2007","4","0.6","2.9","2.4"
"2007","5","0.2","3.1","2.6"
"2007","6","0.0","3.2","2.7"
"2007","7","0.5","3.3","2.8"
"2007","8","0.1","2.4","2.7"
"2007","9","0.8","2.7","2.7"
"2007","10","0.4","3.9","2.8"
"2007","11","0.0","4.9","3.0"
"2007","12","0.4","4.8","3.2"
"2008","1","0.5","5.1","5.1"
"2008","2","0.3","4.6","4.9"
"2008","3","1.3","4.9","4.9"
"2008","4","0.7","5.1","4.9"
"2008","5","1.0","5.9","5.1"
"2008","6","1.0","7.0","5.5"
"2008","7","0.6","7.1","5.7"
"2008","8","-0.4","6.6","5.8"
"2008","9","-0.3","5.5","5.8"
"2008","10","-0.3","4.8","5.7"
"2008","11","-0.8","4.0","5.5"
"2008","12","-0.5","3.0","5.3"
"2009","1","0.2","2.8","2.8"
"2009","2","0.8","3.3","3.0"
"2009","3","1.1","3.1","3.0"
"2009","4","0.6","3.0","3.0"
"2009","5","-0.2","1.8","2.8"
"2009","6","-0.3","0.5","2.4"
"2009","7","0.4","0.4","2.1"
"2009","8","0.5","1.3","2.0"
"2009","9","0.1","1.7","2.0"
"2009","10","-0.4","1.5","1.9"
"2009","11","0.0","2.3","1.9"
"2009","12","0.4","3.3","2.1"
"2010","1","1.0","4.2","4.2"
"2010","2","0.4","3.8","4.0"
"2010","3","0.3","3.0","3.7"
"2010","4","0.5","2.9","3.5"
"2010","5","0.0","3.1","3.4"
"2010","6","-0.4","2.9","3.3"
"2010","7","0.2","2.7","3.2"
"2010","8","0.6","2.8","3.2"
"2010","9","1.2","3.9","3.2"
"2010","10","0.0","4.4","3.4"
"2010","11","-0.9","3.4","3.4"
"2010","12","0.5","3.5","3.4"
"2011","1","1.6","4.1","4.1"
"2011","2","1.0","4.6","4.4"
"2011","3","0.4","4.7","4.5"
"2011","4","-0.1","4.1","4.4"
"2011","5","-0.1","4.0","4.3"
"2011","6","0.1","4.5","4.3"
"2011","7","0.6","4.9","4.4"
"2011","8","0.9","5.2","4.5"
"2011","9","-0.1","3.8","4.4"
"2011","10","-0.3","3.6","4.4"
"2011","11","0.0","4.5","4.4"
"2011","12","0.4","4.4","4.4"
"2012","1","0.4","3.1","3.1"
"2012","2","0.4","2.5","2.8"
"2012","3","0.0","2.1","2.6"
"2012","4","-0.1","2.1","2.5"
"2012","5","0.0","2.2","2.4"
"2012","6","-0.3","1.8","2.3"
"2012","7","-0.5","0.8","2.1"
"2012","8","0.7","0.6","1.9"
"2012","9","1.0","1.8","1.9"
"2012","10","-0.4","1.7","1.9"
"2012","11","-0.7","1.0","1.8"
"2012","12","0.1","0.8","1.7"
"2013","1","0.8","1.1","1.1"
"2013","2","0.5","1.2","1.2"
"2013","3","-0.2","1.0","1.1"
"2013","4","-0.2","0.9","1.0"
"2013","5","-0.3","0.5","0.9"
"2013","6","-0.2","0.5","0.9"
"2013","7","0.1","1.1","0.9"
"2013","8","0.7","1.1","0.9"
"2013","9","0.2","0.2","0.8"
"2013","10","-0.5","0.0","0.8"
"2013","11","-0.2","0.5","0.7"
"2013","12","0.2","0.5","0.7"
"2014","1","0.8","0.6","0.6"
"2014","2","0.3","0.4","0.5"
"2014","3","0.2","0.8","0.6"
"2014","4","0.0","1.0","0.7"
"2014","5","0.0","1.4","0.8"
"2014","6","-0.2","1.4","0.9"
"2014","7","0.0","1.4","1.0"
"2014","8","0.1","0.8","1.0"
"2014","9","0.0","0.6","0.9"
"2014","10","-0.5","0.7","0.9"
"2014","11","-0.2","0.7","0.9"
"2014","12","-0.2","0.3","0.8"
"2015","1","0.2","-0.3","-0.3"
"2015","2","0.0","-0.6","-0.4"
"2015","3","0.1","-0.6","-0.5"
"2015","4","-0.1","-0.7","-0.5"
"2015","5","0.2","-0.5","-0.5"
"2015","6","0.2","-0.1","-0.5"
"2015","7","0.0","-0.1","-0.4"
"2015","8","0.1","-0.1","-0.4"
"2015","9","-0.1","-0.3","-0.4"
"2015","10","-0.1","0.1","-0.3"
"2015","11","-0.2","0.1","-0.3"
"2015","12","0.2","0.5","-0.2"
"2016","1","0.1","0.4","0.4"
"2016","2","0.6","1.0","0.7"
"2016","3","-0.4","0.5","0.6"
"2016","4","0.0","0.6","0.7"
"2016","5","0.0","0.4","0.6"
"2016","6","0.1","0.3","0.5"
"2016","7","-0.6","-0.3","0.4"
"2016","8","0.2","-0.2","0.4"
"2016","9","1.1","1.0","0.4"
"2016","10","0.4","1.4","0.5"
"2016","11","0.0","1.6","0.6"
"2016","12","-0.2","1.2","0.7"
"2017","1","1.5","2.6","2.6"
"2017","2","0.4","2.5","2.6"
"2017","3","0.0","2.9","2.7"
"2017","4","-0.4","2.4","2.6"
"2017","5","0.0","2.5","2.6"
"2017","6","-0.1","2.3","2.5"
"2017","7","0.0","3.0","2.6"
"2017","8","0.8","3.5","2.7"
"2017","9","0.4","2.8","2.7"
"2017","10","-0.4","2.0","2.7"
"2017","11","-0.8","1.3","2.5"
"2017","12","0.2","1.6","2.5"
"2018","1","0.6","0.7","0.7"
"2018","2","1.0","1.3","1.0"
"2018","3","-0.2","1.1","1.0"
"2018","4","0.0","1.5","1.2"
"2018","5","0.0","1.5","1.2"
"2018","6","-0.1","1.5","1.3"
"2018","7","-0.4","1.1","1.2"
"2018","8","1.2","1.5","1.3"
"2018","9","1.3","2.5","1.4"
"2018","10","-0.3","2.6","1.5"
"2018","11","-1.0","2.3","1.6"
"2018","12","-0.8","1.3","1.6"
"2019","1","-0.3","0.4","0.4"
"2019","2","0.6","0.0","0.2"
"2019","3","-0.2","0.0","0.2"
"2019","4","0.3","0.4","0.2"
"2019","5","0.5","0.8","0.3"
"2019","6","-0.1","0.8","0.4"
"2019","7","-0.8","0.4","0.4"
"2019","8","0.3","-0.4","0.3"
"2019","9","0.8","-0.9","0.2"
"2019","10","0.4","-0.3","0.1"
"2019","11","-0.6","0.2","0.1"
"2019","12","0.1","1.1","0.2"
"2020","1","0.7","2.1","2.1"
"2020","2","0.1","1.7","1.9"
"2020","3","-0.1","1.8","1.9"
"2020","4","-1.1","0.3","1.5"
"2020","5","-0.5","-0.7","1.0"
"2020","6","0.3","-0.3","0.8"
"2020","7","-0.5","0.0","0.7"
"2020","8","0.8","0.5","0.7"
"2020","9","1.3","0.9","0.7"
"2020","10","-1.3","-0.7","0.6"
"2020","11","0.1","-0.1","0.5"
"2020","12","0.1","-0.1","0.4"
